country,skill_sets,top_skills
"Berlin, Berlin, Germany","[{'\n  Industry Knowledge': ['Data Analysis', 'Statistical Modeling', 'Business Intelligence', 'Analytics', 'Business Analytics', 'Analysis', 'Statistical Data Analysis', 'Shell Scripting', 'Optimization']}, {'\n  Tools & Technologies': ['R', 'Tableau', 'Python', 'Java', 'SQL', 'Hadoop', 'C', 'Microsoft SQL Server', 'SSRS', 'C++', 'SSIS', 'Linux', 'SAS', 'MySQL', 'Mahout', 'SQL Server Integration Services (SSIS)', 'SQL Server Reporting Services (SSRS)']}, {'\n  Other Skills': ['Data Science', 'Predictive Analytics', 'Text Mining', 'Cluster Analysis', 'PREDECTIVE ANALYTICS', 'Azure Machine Learning']}]","Data Mining,Big Data,Machine Learning"
United States,"[{'\n  Industry Knowledge': ['Software Engineering', 'TCP/IP', 'Statistical Data Analysis', 'Extract, Transform, Load (ETL)', 'Data Warehousing', 'Machine Learning']}, {'\n  Tools & Technologies': ['C++', 'Java', 'Python', 'Google Analytics', 'R', 'Tableau', 'Windows', 'HTML5', 'JavaScript', 'Objective-C', 'Stata']}, {'\n  Interpersonal Skills': ['Team Building']}]","Market Research,Programming,C"
"Nagpur, Maharashtra, India","[{'\n  Industry Knowledge': []}, {'\n  Tools & Technologies': ['R', 'Python', 'Java', 'C++', 'C']}, {'\n  Other Skills': ['Information Retrieval']}]","Machine Learning,Natural Language Processing,Deep Learning"
"Atlanta, Georgia","[{'\n  Industry Knowledge': ['Consulting', 'Data Mining', 'Big Data', 'Analytics', 'Data Warehousing', 'ETL', 'Data Analysis', 'Data Integration', 'SAS programming', 'Statistics', 'Business Intelligence', 'Database Design', 'Enterprise Architecture', 'Extract, Transform, Load (ETL)']}, {'\n  Tools & Technologies': ['SAS', 'R', 'Microsoft SQL Server', 'Microsoft Azure', 'SPSS', 'SQL', 'C#', '.NET', 'VBA', 'SSIS', 'SSRS', 'Databases', 'Relational Databases', 'SQL Server Integration Services (SSIS)', 'Enterprise Software', 'Python', '.NET Framework']}, {'\n  Other Skills': ['Predictive Analytics', 'Analysis Services', 'Predictive Modeling', 'Logistic Regression', 'Text Mining', 'Unsupervised Learning']}]","Data Science,Machine Learning,Statistical Modeling"
Greater Seattle Area,"[{'\n  Industry Knowledge': ['Machine Learning', 'Data Mining', 'Statistical Modeling', 'Statistics', 'Big Data', 'Simulations']}, {'\n  Tools & Technologies': ['Matlab', 'SAS', 'LaTeX', 'Java', 'C', 'Linux', 'SQL', 'Github']}, {'\n  Other Skills': ['Hive']}]","R,Python,Apache Spark"
Greater Seattle Area,"[{'\n  Industry Knowledge': ['Data Structures', 'Analytics', 'Programming', 'Algorithms', 'Data Analysis']}, {'\n  Tools & Technologies': ['C', 'C++', 'Linux', 'MySQL', 'Hadoop', 'Microsoft Excel', 'PowerPoint', 'Microsoft PowerPoint']}, {'\n  Interpersonal Skills': ['Leadership', 'Team Management']}, {'\n  Other Skills': ['Data Science']}]","SQL,R,Python"
Greater Seattle Area,"[{'\n  Industry Knowledge': ['Statistical Modeling', 'Statistics', 'Quantitative Analytics', 'Machine Learning', 'Analytical Skills']}, {'\n  Tools & Technologies': ['SAS', 'SQL']}, {'\n  Other Skills': ['Predictive Analytics', 'Hive']}]","R,Predictive Modeling,Data Mining"
Greater Boston Area,"[{'\n  Industry Knowledge': ['Statistical Modeling', 'Data Analysis', 'Statistical Data Analysis', 'Software Development', 'Programming', 'Research', 'Mathematical Modeling', 'Data Mining', 'Science', 'Big Data']}, {'\n  Tools & Technologies': ['C++', 'Linux', 'C', 'Java', 'SQL', 'Databases', 'Unix', 'Windows', 'Perl', 'SAS']}, {'\n  Interpersonal Skills': []}, {'\n  Other Skills': ['High Performance Computing', 'Survival Analysis', 'Computational Mathematics']}]","Statistics,Machine Learning,R"
,,
,,
"London, United Kingdom","[{'\n  Industry Knowledge': ['Algorithms', 'Web Development', 'Machine Learning', 'Computer Vision', 'Mobile Applications', 'Web Applications', 'Computer Science', 'Software Engineering', 'Agile Methodologies', 'Testing']}, {'\n  Tools & Technologies': ['C#', 'SQL', 'Microsoft Technologies', 'Python', 'Git', 'R', 'Java', 'JavaScript', 'CSS', 'Power BI']}, {'\n  Interpersonal Skills': ['Management']}, {'\n  Other Skills': ['Crowdsourcing', 'Data Science', 'Deep Learning']}]","Software Development,Data Analysis,Software Project Management"
Greater Seattle Area,"[{'\n  Industry Knowledge': ['Computer Science', 'Optimization', 'Artificial Intelligence', 'Data Mining']}, {'\n  Tools & Technologies': ['C', 'LaTeX']}, {'\n  Other Skills': ['Natural Language Processing', 'Data Science']}]","Algorithms,Machine Learning,Python"
,,
"Sydney, Australia","[{'\n  Industry Knowledge': ['Software Engineering', 'Cloud Computing', 'Business Intelligence', 'Anti Money Laundering', 'Requirements Analysis', 'Software Development', 'Scrum', 'SDLC', 'Testing', 'Software Development Life Cycle (SDLC)']}, {'\n  Tools & Technologies': ['SQL', 'SAS', 'Python', 'Scala', 'TensorFlow', 'Unix/Linux', 'Java', 'Tableau', 'C++', 'Microsoft Azure']}, {'\n  Other Skills': ['Artificial Neural Networks', 'Data Analytics', 'OOA/D', 'Technical Architecture', 'Fuzzy Systems', 'Propensity Modelling', 'Random Forest']}]","Algorithms,Machine Learning,R"
"Bellevue, Washington","[{'\n  Industry Knowledge': ['Big Data', 'Algorithms', 'Analytics', 'Data Mining', 'Statistical Data Analysis', 'Reporting & Analysis', 'Data Analysis', 'Operations Management', 'Programming', 'Statistical Modeling', 'Artificial Intelligence']}, {'\n  Tools & Technologies': ['Java', 'R', 'Python', 'C#', 'Linux', 'Mahout', 'C++', 'Microsoft Office', 'SQL', 'C', 'MySQL', 'Eclipse', 'Matlab', 'tensorflow']}, {'\n  Other Skills': ['MapReduce', 'Natural Language Processing', 'Text Analytics', 'Hive', 'High Performance Computing', 'Apache Pig', 'OpenCL', 'C++ Language', 'ActiveMQ', 'Operational Analysis', 'Start-up Environment', 'Start-up Consulting', 'Big Data Analytics', 'Time Series Analysis', 'Cognitive Science', 'High Performance Computing (HPC)', 'MOE']}]","Machine Learning,Hadoop,Data Structures"
Greater Seattle Area,"[{'\n  Industry Knowledge': ['Machine Learning', 'Operations Research', 'Industrial Engineering', 'Statistical Modeling', 'Statistics', 'Lean Manufacturing', 'Mechanical Engineering', 'Programming', 'Analytics']}, {'\n  Tools & Technologies': ['SAS enterprise guide', 'Tableau', 'SAS', 'Microsoft Office', 'Matlab', 'Microsoft Excel', 'Microsoft Word', 'C++', 'PowerPoint', 'SQL', 'C', 'SolidWorks', 'AutoCAD', 'NX Unigraphics', 'Unigraphics']}, {'\n  Interpersonal Skills': ['Leadership', 'Teamwork']}, {'\n  Languages': []}, {'\n  Other Skills': []}]","R,Python,Data Analysis"
Greater Seattle Area,"[{'\n  Industry Knowledge': ['Statistical Modeling', 'Data Analysis', 'Data Mining', 'Machine Learning', 'Econometrics', 'Forecasting', 'Research']}, {'\n  Tools & Technologies': ['SQL', 'Matlab', 'Stata']}, {'\n  Other Skills': ['Predictive Analytics', 'Time Series Analysis', 'Experimental Design', 'A/B Testing', 'Multivariate Analysis']}]","Statistics,R,SAS"
,,
Greater Seattle Area,"[{'\n  Industry Knowledge': ['Software Development', 'Distributed Systems', 'Software Engineering', 'Software Design', 'Programming', 'Big Data', 'Performance Testing', 'Test Automation', 'Cloud Computing', 'Agile Methodologies', 'Multithreading', 'Testing', 'SOA', 'Algorithms', 'Software Project Management', 'SAS Programming']}, {'\n  Tools & Technologies': ['R', 'Python', 'C#', 'C++', 'Windows Azure', 'Visual Studio', 'Java', 'Microsoft SQL Server', 'C', 'Microsoft Azure', 'Windows', 'Eclipse', 'Unix', 'Fortran', 'Hadoop', '.NET', 'SQL', 'Linux']}, {'\n  Other Skills': ['High Performance Computing', 'Compilers', 'MPI']}]","Big Data Analytics,Machine Learning,Deep Learning"
"Stanford, California","[{'\n  Industry Knowledge': ['Data Analysis', 'Research', 'Machine Learning', 'Statistics', 'Statistical Modeling', 'Data Mining', 'Algorithms']}, {'\n  Tools & Technologies': ['C++', 'Java', 'C', 'LaTeX', 'Hadoop', 'SQL', 'hadoop', 'C#', 'HTML', 'JavaScript', 'Microsoft Office']}]","R,Matlab,Python"
Greater Seattle Area,"[{'\n  Industry Knowledge': ['Machine Learning', 'Big Data', 'Statistical Modeling', 'Analytics', 'Segmentation', 'Data Analysis', 'Data Mining', 'SAS programming', 'Forecasting', 'customer segmentation', 'Customer Acquisition', 'Business Intelligence', 'Business Analysis', 'Consulting', 'Analysis']}, {'\n  Tools & Technologies': ['R', 'SQL', 'SAS', 'VBA', 'Microsoft SQL Server']}, {'\n  Interpersonal Skills': ['Management', 'Team Management']}, {'\n  Other Skills': ['Linear Regression', 'Time Series Analysis', 'Demand Forecasting', 'Logistic Regression', 'Cluster Analysis', 'Lifetime Value', 'Predictive Analytics']}]","Predictive Modeling,Machine Learning,Big Data"
"Cambridge, Massachusetts","[{'\n  Industry Knowledge': ['Computer Vision', 'Research', 'Medical Imaging', 'Signal Processing', 'Computer Science', 'Algorithms', 'Image Processing', 'Statistics', 'Statistical Modeling', 'Data Analysis', 'Datamining']}, {'\n  Tools & Technologies': ['Assembly Language', 'Matlab', 'LaTeX', 'Python', 'R']}, {'\n  Other Skills': ['Image Analysis', 'computer assisted detection', 'deformable registration', 'Unsupervised Learning', 'Volume and surface rendering', 'multiscale signal representation', 'one class support vector machines', 'OpenCL (AMD Accelerated Parallel Processing SDK)', 'R, Matlab']}]","Machine Learning,Pattern Recognition,Data Mining"
Greater New York City Area,"[{'\n  Industry Knowledge': ['Statistics', 'Machine Learning', 'Programming', 'Algorithms', 'Quantitative Analytics', 'Statistical Modeling', 'Data Mining', 'Economics', 'Econometrics', 'Mathematics', 'Quantitative Research', 'Forecasting', 'Analysis', 'Mathematical Modeling', 'Computer Science', 'Public Policy', 'Data Management', 'Editing', 'Higher Education', 'Entrepreneurship', 'Start-ups', 'Optimization', 'International Relations', 'Macroeconomics', 'Policy Analysis', 'International Development', 'Policy']}, {'\n  Tools & Technologies': ['R', 'Microsoft Office', 'LaTeX', 'C++', 'SQL', 'C', 'JavaScript', 'SAS', 'Stata', 'Node.js', 'AngularJS']}, {'\n  Interpersonal Skills': ['Teaching']}, {'\n  Other Skills': ['Big Data Analytics', 'Time Series Analysis', 'Game Theory', 'Predictive Modeling', 'Algebra', 'Microeconomics', 'Differential Equations', 'Environmental Economics']}]","Python,Data Analysis,Research"
Greater Seattle Area,"[{'\n  Industry Knowledge': ['Software Engineering', 'Algorithms', 'Data Mining', 'Testing', 'Programming', 'Test Automation', 'Computer Science', 'Software Design', 'Distributed Systems', 'Integration', 'Project Management', 'Artificial Intelligence', 'Object Oriented Design', 'Test Cases', 'System Testing', 'Product Management', 'Software Quality Assurance']}, {'\n  Tools & Technologies': ['C++', 'Java', 'Visual Studio', 'C', 'Matlab']}, {'\n  Interpersonal Skills': ['Teaching']}, {'\n  Other Skills': ['Natural Language Processing', 'Text Mining', 'Text Classification', 'Information Extraction']}]","Software Development,Machine Learning,C#"
"Bellevue, Washington","[{'\n  Industry Knowledge': ['Software Engineering', 'Data Analysis', 'Simulations', 'Distributed Systems', 'Image Processing', 'Optimization', 'Research', 'Software Development']}, {'\n  Tools & Technologies': ['C++', 'C', 'Java', 'JavaScript', 'Linux', 'MySQL', 'LaTeX', 'Python']}, {'\n  Other Skills': ['Job Scheduling', 'High Performance Computing', 'Graph Algorithm']}]","Machine Learning,Algorithms,Data Science"
Greater Boston Area,"[{'\n  Industry Knowledge': []}, {'\n  Tools & Technologies': []}]",
Greater Atlanta Area,"[{'\n  Industry Knowledge': ['Analytics', 'Statistics', 'Big Data', 'Machine Learning', 'Business Analytics', 'Segmentation', 'Data Visualization', 'Business Intelligence', 'Data Analysis', 'CRM', 'Consulting', 'Econometrics', 'Analysis', 'Strategy', 'Data Integration', 'Database Marketing', 'Customer Relationship Management (CRM)']}, {'\n  Tools & Technologies': ['R', 'SAS', 'Hadoop', 'SQL', 'Python', 'Microsoft SQL Server']}, {'\n  Other Skills': ['Predictive Modeling', 'Data Science', 'Time Series Analysis', 'Marketing Analytics', 'Logistic Regression', 'Cluster Analysis', 'Customer Analysis', 'Linear Regression', 'Text Mining']}]","Data Mining,Statistical Modeling,Predictive Analytics"
Greater Boston Area,"[{'\n  Industry Knowledge': []}, {'\n  Tools & Technologies': []}, {'\n  Other Skills': []}]",
Greater Seattle Area,"[{'\n  Industry Knowledge': ['Data Analysis', 'Operations Research', 'Statistical Modeling', 'Data Mining', 'Algorithms', 'Simulations', 'Statistics', 'Analytics']}, {'\n  Tools & Technologies': ['Matlab', 'SQL', 'C', 'SAS', 'Python', 'LaTeX']}, {'\n  Other Skills': ['CPLEX', 'Mathematical Programming', 'AMPL', 'GAMS', 'Crystal Ball', 'Time Series Analysis', 'Predictive Modeling']}]","Optimization,Machine Learning,R"
"Redmond, Washington","[{'\n  Industry Knowledge': ['Data Mining', 'Data Analysis', 'Mathematical Modeling', 'Optimization', 'Image Processing', 'Simulations', 'Chemical Engineering', 'Semiconductors', 'Thin Films', 'Nanotechnology', 'Design of Experiments', 'Signal Processing', 'VLSI']}, {'\n  Tools & Technologies': ['Python', 'SQL', 'Matlab', 'Bash', 'C#']}, {'\n  Other Skills': ['Photolithography', 'EDA', 'Parallel Computing', 'Computational Lithography', 'Computational Geometry', 'Awk', 'Computer Architecture', 'Applied Mathematics', 'High Performance Computing']}]","Machine Learning,Algorithms,C++"
Greater Seattle Area,"[{'\n  Industry Knowledge': ['Statistics', 'Statistical Modeling', 'Business Intelligence', 'Machine Learning', 'Big Data', 'Analysis', 'Business Analytics', 'Business Analysis', 'Segmentation', 'Research']}, {'\n  Tools & Technologies': ['SQL', 'R', 'SAS', 'Databases', 'SPSS', 'Hadoop']}, {'\n  Other Skills': ['Predictive Modeling', 'Predictive Analytics', 'Statistical Computing', 'Logistic Regression', 'Statistical Software', 'Time Series Analysis', 'Linear Regression', 'Multivariate Analysis', 'Regression Analysis']}]","Data Analysis,Data Mining,Analytics"
"Stockholm, Sweden","[{'\n  Industry Knowledge': ['Machine Learning', 'Six Sigma', 'Lean Management', 'ISO 9001', 'Scrum', 'Statistical Data Analysis', 'Statistical Modeling', 'Consulting', 'Finance']}, {'\n  Tools & Technologies': ['Matlab', 'Microsoft Office', 'Microsoft Excel', 'LaTeX', 'Power BI', 'Microsoft Azure', 'GIT', 'SQL', 'Minitab', 'Microsoft SQL Server']}, {'\n  Interpersonal Skills': ['Public Speaking']}, {'\n  Languages': ['English']}, {'\n  Other Skills': ['Predictive Analytics', 'Deep Learning', 'R server', 'Time Series Analysis', 'Data Wrangling', 'AMPL', 'Data Storage Technologies', 'SQL Azure', 'IT Consulting', 'Data Transformation', 'Driving License', 'Traverse', 'Truck Driving', 'Decision Trees']}]","Data Science,R,Python"
Greater Seattle Area,"[{'\n  Tools & Technologies': ['Python', 'Matlab', 'Oracle Database', 'MongoDB', 'Torch', 'R', 'MS SQL Server 2008', 'UNIX', 'oracle 11g', 'C++', 'C', 'Hadoop', 'Tableau']}, {'\n  Other Skills': ['Lua', 'Spark', 'CUDA', 'MapReduce', 'TenserFlow']}]","Machine Learning,Deep Learning,LINUX"
"Redmond, Washington","[{'\n  Industry Knowledge': ['Statistics', 'Data Mining', 'Machine Learning', 'Analytics', 'Analysis', 'Big Data', 'Project Management']}, {'\n  Tools & Technologies': ['SQL', 'Python', 'Unix']}, {'\n  Other Skills': ['Predictive Modeling', 'Time Series Analysis', 'Logistic Regression', 'Experimental Design', 'Multivariate Statistics', 'Pig']}]","R,SAS,Data Analysis"
"Paris 16, Île-de-France, France",[{'\n  Other Skills': ['Analyse financière']}],"Big data,R,Gestion de projet"
,,
,,
"London, United Kingdom","[{'\n  Industry Knowledge': ['Robotics', 'Project Management', 'Engineering', 'Machine Learning', 'Marketing', 'Business Development', 'Business Strategy', 'Mobile Applications', 'Research', 'Mobile Advertising', 'R&D', 'Information Technology', 'Business Intelligence', 'Big Data', 'Cloud Computing', 'Automation', 'Computer Science', 'Electrical Engineering', 'Data Analysis', 'Product Development', 'Start-ups', 'Algorithms', 'Strategy', 'Mobile Devices']}, {'\n  Interpersonal Skills': ['Team Leadership', 'Management', 'Leadership', 'Negotiation']}, {'\n  Other Skills': ['IT Business Strategy', 'Online Retail', 'Innovation', 'Data Science', 'Deep Learning']}]","Entrepreneurship,Artificial Intelligence,Computer Vision"
Greater Seattle Area,"[{'\n  Industry Knowledge': ['Analysis', 'Data Analysis', 'Market Research', 'Forecasting']}, {'\n  Tools & Technologies': ['Databases']}]","SAS,Data Mining,R"
,,
,,
"Lisbon Area, Portugal","[{'\n  Industry Knowledge': ['Front office', 'Operation Research', 'Machine Learning']}, {'\n  Tools & Technologies': ['Java', 'Microsoft Word', 'PowerPoint', 'Mathematica', 'Microsoft PowerPoint', 'LaTeX', 'SQL', 'Microsoft Visual Studio', 'Microsoft Access', 'Python']}, {'\n  Interpersonal Skills': ['Teamwork']}, {'\n  Other Skills': ['Data Science', 'Trabalho em equipe', 'Engenharia biomédica', 'Engenharia', 'Biotecnologia', 'Pesquisa', 'Liderança de equipe', 'C (linguagem de programação)', 'OOP (Conceitos de orientação a objetos)']}]","Microsoft Office,Matlab,Microsoft Excel"
"Alfortville, Île-de-France, France","[{'\n  Industry Knowledge': []}, {'\n  Tools & Technologies': ['Java']}, {'\n  Other Skills': []}]",Java
"Redmond, Washington","[{'\n  Industry Knowledge': ['Statistical Modeling', 'Analytics', 'Algorithms', 'Big Data', 'Statistics', 'Mathematical Modeling', 'Artificial Intelligence', 'Credit Risk']}, {'\n  Tools & Technologies': ['SAS', 'R', 'Hadoop', 'Java', 'PL/SQL']}, {'\n  Other Skills': ['Neural Networks', 'Predictive Modeling', 'Pattern Recognition', 'Logistic Regression', 'Decision Trees', 'Time Series Analysis']}]","Data Mining,Machine Learning,Predictive Analytics"
"Redmond, Washington","[{'\n  Industry Knowledge': ['Economics', 'Data Analysis', 'Statistics', 'Machine Learning', 'Quantitative Analytics', 'Statistical Modeling', 'Modeling', 'Analytics', 'Data Mining', 'Mathematical Modeling']}, {'\n  Tools & Technologies': ['Matlab', 'LaTeX', 'Python', 'Mathematica', 'VBA']}, {'\n  Other Skills': ['Logistic Regression', 'Monte Carlo Simulation', 'Predictive Analytics', 'Regression Analysis', 'Predictive Modeling', 'Economic Research', 'Linear Regression', 'Gauss']}]","Econometrics,R,Stata"
"Seattle, Washington","[{'\n  Industry Knowledge': ['Event Planning', 'Research']}, {'\n  Tools & Technologies': ['PowerPoint', 'Microsoft Word', 'Microsoft Excel', 'Facebook', 'Photoshop']}, {'\n  Interpersonal Skills': ['Leadership', 'Teamwork', 'Customer Service']}]","Public Speaking,Social Media,Microsoft Office"
"Lisbon Area, Portugal","[{'\n  Industry Knowledge': ['Physics', 'Data Analysis', 'Statistics', 'Image Processing', 'Machine Learning', 'Programming', 'Scientific Writing']}, {'\n  Tools & Technologies': ['Microsoft Excel', 'Linux', 'LaTeX', 'R']}, {'\n  Other Skills': ['Astrophysics', 'Scientific Computing']}]","Science,Research,Project Management"
"Gent Area, Belgium","[{'\n  Industry Knowledge': ['Software Development', 'Cloud Computing', 'IT Strategy']}, {'\n  Tools & Technologies': ['Python', 'R', 'Java']}, {'\n  Other Skills': ['Data Science', 'Data Engineering']}]","Machine Learning,Natural Language Processing,Deep Learning"
Greater Seattle Area,"[{'\n  Industry Knowledge': ['Data Analysis', 'Statistics', 'Machine Learning', 'Statistical Modeling', 'Data Mining']}, {'\n  Tools & Technologies': ['SPSS', 'SAS', 'Python', 'Microsoft Office', 'C', 'SQL', 'Hadoop', 'Microsoft Excel', 'C++']}, {'\n  Interpersonal Skills': ['Qualitative Research']}, {'\n  Other Skills': ['MapReduce']}]","R,Matlab,Java"
Greater Seattle Area,"[{'\n  Industry Knowledge': ['Statistics', 'Statistical Modeling', 'Data Analysis', 'Analytics', 'Machine Learning', 'SAS programming', 'Business Intelligence', 'Research', 'Big Data', 'Credit Risk', 'Quantitative Analytics', 'Econometrics', 'Business Analytics', 'Credit Analysis']}, {'\n  Tools & Technologies': ['SQL', 'Python', 'Matlab', 'Hadoop', 'SPSS']}, {'\n  Other Skills': ['Predictive Modeling', 'Logistic Regression', 'Time Series Analysis', 'Customer Analysis', 'Cluster Analysis', 'Hive', 'Apache Pig']}]","Data Mining,SAS,R"
,,
"London, United Kingdom","[{'\n  Industry Knowledge': ['Algorithms', 'Neuroscience', 'Data Analysis', 'Analysis', 'Artificial Intelligence', 'Research']}, {'\n  Tools & Technologies': ['Matlab', 'Linux', 'Java', 'C++', 'LaTeX']}, {'\n  Other Skills': ['Neural Networks']}]","Machine Learning,Python,Signal Processing"
,,
,,
Greater Seattle Area,"[{'\n  Industry Knowledge': ['Machine Learning', 'Data Mining', 'Healthcare', 'Market Research', 'Biostatistics']}, {'\n  Tools & Technologies': ['SPSS', 'SQL', 'Tableau', 'python']}, {'\n  Other Skills': ['Predictive Modeling', 'Experimental Design', 'Teradata']}]","SAS,R,Statistical Modeling"
Greater Boston Area,"[{'\n  Industry Knowledge': ['Distributed Systems', 'Mobile Devices', 'Algorithms', 'Analytics', 'Software Engineering', 'Cloud Computing', 'Big Data', 'Mobile Applications', 'System Architecture', 'Scalability']}, {'\n  Tools & Technologies': ['Linux', 'Java', 'Python']}, {'\n  Interpersonal Skills': ['Technical Leadership']}, {'\n  Other Skills': ['Apache Spark', 'Content Distribution Networks']}]","Machine Learning,Large-scale Data Analysis,Natural Language Processing"
"Hyderabad, Telangana, India","[{'\n  Industry Knowledge': ['web development', 'Strategic Planning', 'Project Management']}, {'\n  Tools & Technologies': ['C++', 'C', 'PHP', 'mysql', 'javascript', 'jquery', 'CSS', 'HTML', 'Microsoft Office', 'Microsoft Excel', 'PowerPoint', 'JavaScript', 'MySQL']}, {'\n  Interpersonal Skills': ['Public Speaking', 'Leadership', 'Customer Service']}, {'\n  Other Skills': ['Algorithm Design']}]","Machine Learning,Research,Programming"
"Boston, Massachusetts","[{'\n  Industry Knowledge': []}, {'\n  Tools & Technologies': []}, {'\n  Other Skills': []}]",
"Chicago, Illinois","[{'\n  Industry Knowledge': []}, {'\n  Tools & Technologies': []}, {'\n  Other Skills': []}]",
"Paris Area, France","[{'\n  Tools & Technologies': ['Matlab', 'LaTeX', 'R', 'Git', 'Microsoft Office']}, {'\n  Other Skills': ['Anglais']}]","Python,French,Java"
Greater Seattle Area,"[{'\n  Industry Knowledge': ['Data Analysis', 'Statistical Data Analysis', 'SAS Programming', 'Research']}, {'\n  Tools & Technologies': ['Python', 'R', 'SQL', 'Java', 'Bash']}, {'\n  Interpersonal Skills': ['Management', 'Team Building', 'Public Speaking']}, {'\n  Other Skills': ['Natural Language Processing', 'Predictive Modeling', 'Unstructured Data', 'Database Management System (DBMS)']}]","Machine Learning,Data Science,Supervised and Unsupervised Model Building"
,,
"London, United Kingdom","[{'\n  Industry Knowledge': ['Statistics', 'Financial Modeling', 'Investments', 'Financial Analysis', 'Research']}, {'\n  Tools & Technologies': ['MySQL', 'Bloomberg']}, {'\n  Other Skills': ['Social Network Analysis']}]","Machine Learning,Python,Predictive Modeling"
,,
"Geneva, Canton of Geneva, Switzerland","[{'\n  Industry Knowledge': ['Artificial Intelligence', 'software engineering', 'Intellectual Property']}, {'\n  Tools & Technologies': ['Java', 'SQL', 'Amazon Web Services', 'AngularJS', 'Hadoop']}, {'\n  Interpersonal Skills': ['Management', 'Intercultural Communication']}, {'\n  Other Skills': ['Gestion de projet', 'Base de données', 'Mathematical Logic', 'Fuzzy logic', 'statistical modelization', 'Apache Spark']}]","Data mining,machine learning,R"
Greater Seattle Area,"[{'\n  Industry Knowledge': ['Data Warehousing', 'Software Development', 'Software Project Management', 'Scalability', 'ETL', 'ITIL', 'Database Administration', 'Business Analysis', 'Analytics']}, {'\n  Tools & Technologies': ['SSRS', '.NET', 'Hibernate', 'Databases', 'T-SQL', 'C#', 'Power BI', 'Windows Server', 'Python', 'SQL']}, {'\n  Interpersonal Skills': []}, {'\n  Other Skills': ['Azure Machine Learning']}]","Microsoft SQL Server,SSIS,Business Intelligence"
