area,address,number,price,date,property_type,geocode,full_address
Maglin,Maglin Green,10,393000,2021-01-05,New Build,"51.88135112776452, -8.59523805920491","10 Maglin Green, Maglin"
Church View,Churchview,2,270000,2020-12-21,Second-Hand,"51.88549636879165, -8.592625889887055","2 Churchview, Church View"
Beech Park,Cranford Pines,20,290000,2020-12-21,Second-Hand,"51.884462825784524, -8.586660730369518","20 Cranford Pines, Beech Park"
An Caislean,An Caislean,112,266000,2018-04-20,Second-Hand,"51.88419579207018, -8.604721941977742","112 An Caislean, An Caislean"
Daffodil Fields,Daffodil Fields,45,355000,2018-04-20,Second-Hand,"51.89114262893351, -8.573402430369397","45 Daffodil Fields, Daffodil Fields"
Town Center,Tus Abhaile,3,203500,2018-04-19,Second-Hand,"51.8878563321983, -8.600737381727024","3 Tus Abhaile, Town Center"
Old Quarter,Millers Court,67,385000,2018-04-19,New Build,"51.89008441064981, -8.590014945710507","67 Millers Court, Old Quarter"
Classis Lake,Oak Avenue,10,245000,2018-04-18,Second-Hand,"51.88586099008718, -8.62822296864587","10 Oak Avenue, Classis Lake"
Old Quarter,Millers Court,70,385000,2018-04-18,New Build,"51.89008441064981, -8.590014945710507","70 Millers Court, Old Quarter"
Old Quarter,Leslies Arch,2,467620,2018-04-11,New Build,"51.89008441064981, -8.590014945710507","2 Leslies Arch, Old Quarter"
Old Quarter,Coopers Grange,82,339000,2018-04-06,Second-Hand,"51.89008441064981, -8.590014945710507","82 Coopers Grange, Old Quarter"
Coolroe,Coolroe Heights,33,252000,2018-04-05,Second-Hand,"51.885279789132504, -8.622716969745719","33 Coolroe Heights, Coolroe"
Old Quarter,Millers Court,106,640000,2021-05-31,Second-Hand,"51.89008441064981, -8.590014945710507","106 Millers Court, Old Quarter"
Castleknock,Castleknock,16,330000,2021-05-28,Second-Hand,"51.88198791175574, -8.595112470852024","16 Castleknock, Castleknock"
An Caislean,Kells,10,212000,2021-05-28,Second-Hand,"51.88419579207018, -8.604721941977742","10 Kells, An Caislean"
An Caislean,Newgrange,21,267000,2021-05-26,Second-Hand,"51.88419579207018, -8.604721941977742","21 Newgrange, An Caislean"
Heathfield,The Avenue Heathfield,52,385000,2021-05-26,New Build,"51.88275370396547, -8.57522707085204","52 The Avenue Heathfield, Heathfield"
Maglin,Maglin Green,14,650000,2021-05-26,New Build,"51.88135112776452, -8.59523805920491","14 Maglin Green, Maglin"
Old Quarter,Millers Court,107,465000,2018-09-18,New Build,"51.89008441064981, -8.590014945710507","107 Millers Court, Old Quarter"
Inniscarra View,Hawthorn Avenue,13,257000,2018-09-18,Second-Hand,"51.88901621244116, -8.572065214668026","13 Hawthorn Avenue, Inniscarra View"
Leecourt,Leecourt,93,252000,2018-09-06,Second-Hand,"51.8915162277775, -8.581342570851831","93 Leecourt, Leecourt"
Old Quarter,Leslies Arch,107,300000,2018-09-03,Second-Hand,"51.89008441064981, -8.590014945710507","107 Leslies Arch, Old Quarter"
Maglin,Glincoole Gardens,20,280000,2018-09-03,Second-Hand,"51.88135112776452, -8.59523805920491","20 Glincoole Gardens, Maglin"
Coolroe,Coolroe Court,7,422500,2018-08-31,New Build,"51.885279789132504, -8.622716969745719","7 Coolroe Court, Coolroe"
Inniscarra View,Whitetholn Avenue,24,310000,2018-08-27,Second-Hand,"51.88901621244116, -8.572065214668026","24 Whitetholn Avenue, Inniscarra View"
Coolroe,The Green,92,330000,2019-11-11,Second-Hand,"51.885279789132504, -8.622716969745719","92 The Green, Coolroe"
Old Quarter,Coopers Grange,71,265000,2019-11-11,Second-Hand,"51.89008441064981, -8.590014945710507","71 Coopers Grange, Old Quarter"
An Caislean,Caislean Drive,68,267500,2019-11-08,Second-Hand,"51.88419579207018, -8.604721941977742","68 Caislean Drive, An Caislean"
Coolroe,The Close,31,360000,2019-11-07,Second-Hand,"51.885279789132504, -8.622716969745719","31 The Close, Coolroe"
Powdermills,Longrange,22,245000,2019-11-06,Second-Hand,"51.89225015549648, -8.586096438526356","22 Longrange, Powdermills"
Greenfields,Old Court,5,425000,2019-11-04,Second-Hand,"51.87941701969475, -8.620193493581136","5 Old Court, Greenfields"
The Maltings,Barley Grove,26,242500,2019-11-04,Second-Hand,"51.88503727921537, -8.591352822622822","26 Barley Grove, The Maltings"
Station Road,Tudor Grove,4,250000,2019-11-04,Second-Hand,"51.885856656204545, -8.590996730369481","4 Tudor Grove, Station Road"
Greenfield,Greenfield Road,,555000,2019-11-01,Second-Hand,"51.88072634468435, -8.611355403381312"," Greenfield Road, Greenfield"
Greenfields,Woodberry,3,690000,2019-03-28,Second-Hand,"51.87941701969475, -8.620193493581136","3 Woodberry, Greenfields"
Coolroe,Coolroe Heights,14,315000,2019-03-28,Second-Hand,"51.885279789132504, -8.622716969745719","14 Coolroe Heights, Coolroe"
Station Road,Tudor Grove,10,260000,2019-03-27,Second-Hand,"51.885856656204545, -8.590996730369481","10 Tudor Grove, Station Road"
The Cloisters,A Brompton House,,101579,2019-03-20,Second-Hand,"51.88453436126935, -8.578108099687265"," A Brompton House, The Cloisters"
Town Center,Block 3 Tus Abhaile,4,208000,2019-03-18,Second-Hand,"51.8878563321983, -8.600737381727024","4 Block 3 Tus Abhaile, Town Center"
Coolroe,Willow Grove,55,310000,2018-12-18,Second-Hand,"51.885279789132504, -8.622716969745719","55 Willow Grove, Coolroe"
Westcourt,Westcourt Heights,41,292500,2018-12-18,Second-Hand,"51.88681255417706, -8.616295628522487","41 Westcourt Heights, Westcourt"
Coolroe,Willow Grove,4,310000,2018-12-17,Second-Hand,"51.885279789132504, -8.622716969745719","4 Willow Grove, Coolroe"
An Caislean,An Caislean Way,135,320000,2018-12-14,Second-Hand,"51.88419579207018, -8.604721941977742","135 An Caislean Way, An Caislean"
Old Quarter,Coopers Grange,14,409999,2018-12-14,New Build,"51.89008441064981, -8.590014945710507","14 Coopers Grange, Old Quarter"
Old Quarter,Coopers Grange,34,400000,2020-02-27,New Build,"51.89008441064981, -8.590014945710507","34 Coopers Grange, Old Quarter"
The Maltings,Distillery Court,30,206000,2020-02-25,Second-Hand,"51.88503727921537, -8.591352822622822","30 Distillery Court, The Maltings"
Greenfields,Woodberry,38,485000,2020-02-24,Second-Hand,"51.87941701969475, -8.620193493581136","38 Woodberry, Greenfields"
The Maltings,Distillery Court,45,220000,2020-02-24,Second-Hand,"51.88503727921537, -8.591352822622822","45 Distillery Court, The Maltings"
The Crescent,The Crescent,6,270000,2020-02-24,Second-Hand,"51.88974689003794, -8.592724974545812","6 The Crescent, The Crescent"
Old Quarter,Millers Court,13,275000,2020-02-24,Second-Hand,"51.89008441064981, -8.590014945710507","13 Millers Court, Old Quarter"
Old Quarter,Coopers Grange,6,456525,2020-02-21,New Build,"51.89008441064981, -8.590014945710507","6 Coopers Grange, Old Quarter"
Old Quarter,Cooper's Grange,20,350000,2019-07-26,New Build,"51.89008441064981, -8.590014945710507","20 Cooper's Grange, Old Quarter"
Old Quarter,Coopers Grange,36,400000,2019-07-25,New Build,"51.89008441064981, -8.590014945710507","36 Coopers Grange, Old Quarter"
Old Quarter,Coppers Grange,19,350000,2019-07-23,New Build,"51.89008441064981, -8.590014945710507","19 Coppers Grange, Old Quarter"
Parknamore,Parknamore,15,285000,2019-07-22,Second-Hand,"51.88458744794133, -8.609309161051812","15 Parknamore, Parknamore"
Old Quarter,Coopers Grange,18,350001,2019-07-19,New Build,"51.89008441064981, -8.590014945710507","18 Coopers Grange, Old Quarter"
Carrigrohane,Laurel Wood House,1,760000,2019-07-19,Second-Hand,"51.89118108080445, -8.570433423222292","1 Laurel Wood House, Carrigrohane"
Glendower Court,Glendower Court,11,300000,2020-08-19,Second-Hand,"51.89097713659068, -8.579260601534097","11 Glendower Court, Glendower Court"
Old Quarter,Millers Court,70,420000,2020-08-13,Second-Hand,"51.89008441064981, -8.590014945710507","70 Millers Court, Old Quarter"
An Caislean,Newgrange,1,213000,2020-08-11,Second-Hand,"51.88419579207018, -8.604721941977742","1 Newgrange, An Caislean"
Shalimar Court,Shalimar Court,5,250000,2020-07-31,Second-Hand,"51.88896130535807, -8.578969730369383","5 Shalimar Court, Shalimar Court"
Coolroe,The Green,13,394000,2020-12-18,Second-Hand,"51.885279789132504, -8.622716969745719","13 The Green, Coolroe"
Highfield,Highfield Park,12,310000,2020-12-18,Second-Hand,"51.88483134751023, -8.573114016875365","12 Highfield Park, Highfield"
Heathfield,The Avenue,35,379999,2020-12-15,New Build,"51.88275370396547, -8.57522707085204","35 The Avenue, Heathfield"
Old Quarter,Coopers Grange,108,520000,2020-12-14,Second-Hand,"51.89008441064981, -8.590014945710507","108 Coopers Grange, Old Quarter"
Rosewood,Rosewood Estate,114,280000,2020-12-14,Second-Hand,"51.88865181082447, -8.575978970851866","114 Rosewood Estate, Rosewood"
The Maltings,Distillery Court,27,210000,2018-04-04,Second-Hand,"51.88503727921537, -8.591352822622822","27 Distillery Court, The Maltings"
Old Quarter,Millers Court,68,335000,2018-04-04,New Build,"51.89008441064981, -8.590014945710507","68 Millers Court, Old Quarter"
Old Quarter,Millers Court,69,380225,2018-04-03,New Build,"51.89008441064981, -8.590014945710507","69 Millers Court, Old Quarter"
Old Quarter,Coopers Grange,108,465000,2018-03-29,Second-Hand,"51.89008441064981, -8.590014945710507","108 Coopers Grange, Old Quarter"
Maglin,Glincool Crescent,9,310000,2018-03-28,Second-Hand,"51.88135112776452, -8.59523805920491","9 Glincool Crescent, Maglin"
Daffodil Fields,Daffodil Fields,25,470000,2018-03-28,Second-Hand,"51.89114262893351, -8.573402430369397","25 Daffodil Fields, Daffodil Fields"
Town Center,Chapel Lane Row,2a,450000,2021-05-25,Second-Hand,"51.8878563321983, -8.600737381727024","2a Chapel Lane Row, Town Center"
Old Quarter,Coopers Grange,107,520000,2021-05-24,Second-Hand,"51.89008441064981, -8.590014945710507","107 Coopers Grange, Old Quarter"
Heathfield,The Avenue,49,385000,2021-05-20,New Build,"51.88275370396547, -8.57522707085204","49 The Avenue, Heathfield"
The Crescent,The Crescent,17,275000,2018-08-24,Second-Hand,"51.88974689003794, -8.592724974545812","17 The Crescent, The Crescent"
Old Quarter,Coopers Grange,43,250000,2018-08-23,Second-Hand,"51.89008441064981, -8.590014945710507","43 Coopers Grange, Old Quarter"
Beech Park,Beech Park,118,261000,2018-08-22,Second-Hand,"51.884462825784524, -8.586660730369518","118 Beech Park, Beech Park"
Daffodil Fields,Daffodil Fields,27,465000,2018-08-20,Second-Hand,"51.89114262893351, -8.573402430369397","27 Daffodil Fields, Daffodil Fields"
Fionn Laoi,Woodview,19,400000,2018-08-16,New Build,"51.89295672639931, -8.577244778805012","19 Woodview, Fionn Laoi"
An Caislean,Caislean Drive,73,280000,2019-10-31,Second-Hand,"51.88419579207018, -8.604721941977742","73 Caislean Drive, An Caislean"
Carriganarra,Carriganarra,4,325000,2019-10-30,Second-Hand,"51.88456579585057, -8.579854607281877","4 Carriganarra, Carriganarra"
Maglin,Glincool Villas,9,260000,2019-10-29,Second-Hand,"51.88135112776452, -8.59523805920491","9 Glincool Villas, Maglin"
Old Quarter,Leslies Arch,102,275000,2019-10-29,Second-Hand,"51.89008441064981, -8.590014945710507","102 Leslies Arch, Old Quarter"
Castlepark,Castlepark,42,185000,2019-10-28,Second-Hand,"51.88653927567583, -8.585310716875346","42 Castlepark, Castlepark"
Greenfield,Oldcourt,4,433000,2019-10-25,Second-Hand,"51.88072634468435, -8.611355403381312","4 Oldcourt, Greenfield"
Old Quarter,Millers Court,61,399999,2019-10-25,New Build,"51.89008441064981, -8.590014945710507","61 Millers Court, Old Quarter"
Westcourt,Westcourt Heights,63,213000,2019-03-15,Second-Hand,"51.88681255417706, -8.616295628522487","63 Westcourt Heights, Westcourt"
Old Quarter,Waltham Abbey,6,600000,2019-03-15,Second-Hand,"51.89008441064981, -8.590014945710507","6 Waltham Abbey, Old Quarter"
Town Center,Poulavone,,325000,2019-03-15,Second-Hand,"51.8878563321983, -8.600737381727024"," Poulavone, Town Center"
Coolroe,The Avenue,8,266000,2019-03-15,Second-Hand,"51.885279789132504, -8.622716969745719","8 The Avenue, Coolroe"
Classis Lake,The Oaks,12,368000,2019-03-14,Second-Hand,"51.88586099008718, -8.62822296864587","12 The Oaks, Classis Lake"
Old Quarter,Leslies Arch,147,260000,2019-03-14,Second-Hand,"51.89008441064981, -8.590014945710507","147 Leslies Arch, Old Quarter"
Greystones,Greystones,40,280000,2018-12-14,Second-Hand,"51.88708566318779, -8.572495537963082","40 Greystones, Greystones"
Fionn Laoi,Woodview,12,345000,2018-12-12,New Build,"51.89295672639931, -8.577244778805012","12 Woodview, Fionn Laoi"
Town Center,Silverwood,2,255000,2018-12-07,Second-Hand,"51.8878563321983, -8.600737381727024","2 Silverwood, Town Center"
Old Quarter,Millers Court,46,410000,2018-12-05,Second-Hand,"51.89008441064981, -8.590014945710507","46 Millers Court, Old Quarter"
Old Quarter,Millers Court,22,355000,2018-12-05,Second-Hand,"51.89008441064981, -8.590014945710507","22 Millers Court, Old Quarter"
Muskerry Estate,Cherry Walk,37,258000,2018-12-05,Second-Hand,"51.885514844369936, -8.596310161258103","37 Cherry Walk, Muskerry Estate"
Powdermills,Powdermill Meadows,4,335000,2018-12-04,New Build,"51.89225015549648, -8.586096438526356","4 Powdermill Meadows, Powdermills"
Old Quarter,Millers Court,60,400000,2020-02-18,New Build,"51.89008441064981, -8.590014945710507","60 Millers Court, Old Quarter"
Westgrove,Westgrove,26,205666,2020-02-14,Second-Hand,"51.88676931020199, -8.6146432996872","26 Westgrove, Westgrove"
Coolroe,The Stables,17,352000,2020-02-10,Second-Hand,"51.885279789132504, -8.622716969745719","17 The Stables, Coolroe"
Aylsbury,Aylsbury,39,300000,2020-02-10,Second-Hand,"51.88284449037205, -8.620440916875388","39 Aylsbury, Aylsbury"
Heathfield,The Avenue,10,325000,2020-02-06,New Build,"51.88275370396547, -8.57522707085204","10 The Avenue, Heathfield"
Leesdale Court,Leesdale Court,16,294000,2020-02-06,Second-Hand,"51.89042385266594, -8.583049957357712","16 Leesdale Court, Leesdale Court"
An Caislean,Tara An Caisleain,1,207000,2020-02-05,Second-Hand,"51.88419579207018, -8.604721941977742","1 Tara An Caisleain, An Caislean"
Parknamore,Parknamore Rise,21,266200,2019-07-18,Second-Hand,"51.88458744794133, -8.609309161051812","21 Parknamore Rise, Parknamore"
Old Quarter,Millers Court,59,406883,2019-07-18,New Build,"51.89008441064981, -8.590014945710507","59 Millers Court, Old Quarter"
Greenfields,Fernwalk,7,630000,2019-07-15,Second-Hand,"51.87941701969475, -8.620193493581136","7 Fernwalk, Greenfields"
The Cloisters,The Cloisters,20,280000,2019-07-12,Second-Hand,"51.88453436126935, -8.578108099687265","20 The Cloisters, The Cloisters"
Coolroe,The Lawn,35,332000,2019-07-12,Second-Hand,"51.885279789132504, -8.622716969745719","35 The Lawn, Coolroe"
Old Quarter,The Cresent,52,253000,2019-07-10,Second-Hand,"51.89008441064981, -8.590014945710507","52 The Cresent, Old Quarter"
Parknamore,Parknamore Rise,23,265000,2019-07-10,Second-Hand,"51.88458744794133, -8.609309161051812","23 Parknamore Rise, Parknamore"
Inniscarra View,Woodbine Lawn,15,287500,2020-07-29,Second-Hand,"51.88901621244116, -8.572065214668026","15 Woodbine Lawn, Inniscarra View"
Old Quarter,Millers Court,71,420000,2020-07-29,Second-Hand,"51.89008441064981, -8.590014945710507","71 Millers Court, Old Quarter"
Maglin,Glincool Grove,11,273000,2020-07-28,Second-Hand,"51.88135112776452, -8.59523805920491","11 Glincool Grove, Maglin"
Hazel Grove,Hazel Grove,3,170000,2020-07-27,Second-Hand,"51.88270220033945, -8.594207045710691","3 Hazel Grove, Hazel Grove"
Greystones,Greystones,21,262000,2020-12-09,Second-Hand,"51.88708566318779, -8.572495537963082","21 Greystones, Greystones"
Station Road,Station Road,,310000,2020-12-09,Second-Hand,"51.885856656204545, -8.590996730369481"," Station Road, Station Road"
Daffodil Fields,Daffodil Fields,45,373000,2020-12-09,Second-Hand,"51.89114262893351, -8.573402430369397","45 Daffodil Fields, Daffodil Fields"
The Maltings,Distillery Court,35,205000,2020-12-07,Second-Hand,"51.88503727921537, -8.591352822622822","35 Distillery Court, The Maltings"
Old Quarter,Coopers Grange,10,280000,2018-03-26,Second-Hand,"51.89008441064981, -8.590014945710507","10 Coopers Grange, Old Quarter"
Old Quarter,Millers Court,71,384820,2018-03-22,New Build,"51.89008441064981, -8.590014945710507","71 Millers Court, Old Quarter"
Old Quarter,Leslies Arch Old Quarter,18,190000,2018-03-18,Second-Hand,"51.89008441064981, -8.590014945710507","18 Leslies Arch Old Quarter, Old Quarter"
Aylsbury,Aylsbury Avenue,14,345000,2018-03-16,Second-Hand,"51.88284449037205, -8.620440916875388","14 Aylsbury Avenue, Aylsbury"
Coolroe,Willow Grove,47,318000,2021-05-14,Second-Hand,"51.885279789132504, -8.622716969745719","47 Willow Grove, Coolroe"
Carrigrohanebeg,The Willows,199,261500,2021-05-07,Second-Hand,"51.89309917070151, -8.580849757357647","199 The Willows, Carrigrohanebeg"
An Caislean,An Caislean Heights,157,200000,2021-04-29,Second-Hand,"51.88419579207018, -8.604721941977742","157 An Caislean Heights, An Caislean"
Highfield,Highfield Park,7,317000,2021-04-27,Second-Hand,"51.88483134751023, -8.573114016875365","7 Highfield Park, Highfield"
Innishmore,Innishmore Grove,35,188000,2021-04-22,Second-Hand,"51.88897474404985, -8.608958999892096","35 Innishmore Grove, Innishmore"
Wyndham Downs,Wyndham Downs,43,300000,2021-04-22,Second-Hand,"51.88594295587414, -8.620296147557605","43 Wyndham Downs, Wyndham Downs"
Old Quarter,Millers Court,62,360000,2018-08-10,New Build,"51.89008441064981, -8.590014945710507","62 Millers Court, Old Quarter"
Coolroe,The Close,34,360000,2018-08-03,Second-Hand,"51.885279789132504, -8.622716969745719","34 The Close, Coolroe"
The Cloisters,The Cloisters,26,335000,2018-08-03,Second-Hand,"51.88453436126935, -8.578108099687265","26 The Cloisters, The Cloisters"
Old Quarter,Millers Court,63,350000,2018-07-27,New Build,"51.89008441064981, -8.590014945710507","63 Millers Court, Old Quarter"
Old Quarter,Leslies Arch,81,395000,2018-07-27,Second-Hand,"51.89008441064981, -8.590014945710507","81 Leslies Arch, Old Quarter"
Old Quarter,Millers Court,64,399999,2018-07-24,New Build,"51.89008441064981, -8.590014945710507","64 Millers Court, Old Quarter"
Fionn Laoi,Woodview,30,350000,2018-07-24,New Build,"51.89295672639931, -8.577244778805012","30 Woodview, Fionn Laoi"
West Village,Kiermena,1,540000,2019-10-25,Second-Hand,"51.88675485217772, -8.606397553304374","1 Kiermena, West Village"
The Cloisters,The Cloisters,92,270000,2019-10-24,Second-Hand,"51.88453436126935, -8.578108099687265","92 The Cloisters, The Cloisters"
The Quadrants,North East Quadrants,168,194000,2019-10-24,Second-Hand,"51.8890702782036, -8.589706799326772","168 North East Quadrants, The Quadrants"
Town Center,Church View,65,227500,2019-03-12,Second-Hand,"51.8878563321983, -8.600737381727024","65 Church View, Town Center"
Avoncourt,Avoncourt,13,330000,2019-03-11,Second-Hand,"51.88515208061713, -8.612719189887075","13 Avoncourt, Avoncourt"
Old Quarter,Coopers Grange,32b,255000,2019-03-11,New Build,"51.89008441064981, -8.590014945710507","32b Coopers Grange, Old Quarter"
Muskerry Estate,Holly Road,19,290000,2019-03-11,Second-Hand,"51.885514844369936, -8.596310161258103","19 Holly Road, Muskerry Estate"
Town Center,Main Street,,120000,2018-12-03,Second-Hand,"51.8878563321983, -8.600737381727024"," Main Street, Town Center"
Westcourt,Bellview,1,403000,2018-11-30,Second-Hand,"51.88681255417706, -8.616295628522487","1 Bellview, Westcourt"
An Caislean,Caislean Close,8,262000,2018-11-30,Second-Hand,"51.88419579207018, -8.604721941977742","8 Caislean Close, An Caislean"
Coolroe,Coolroe Court,1,507000,2018-11-28,New Build,"51.885279789132504, -8.622716969745719","1 Coolroe Court, Coolroe"
The Cloisters,The Cloisters,60,265000,2018-11-27,Second-Hand,"51.88453436126935, -8.578108099687265","60 The Cloisters, The Cloisters"
Maglin,Maglin Green,1,475000,2020-02-04,New Build,"51.88135112776452, -8.59523805920491","1 Maglin Green, Maglin"
An Caislean,An Caislean,191,255000,2020-02-03,Second-Hand,"51.88419579207018, -8.604721941977742","191 An Caislean, An Caislean"
Old Quarter,Coopers Grange,14,415000,2020-01-30,Second-Hand,"51.89008441064981, -8.590014945710507","14 Coopers Grange, Old Quarter"
The Crescent,The Crescent,23,323000,2020-01-30,Second-Hand,"51.88974689003794, -8.592724974545812","23 The Crescent, The Crescent"
Old Quarter,Leslies Arch,30,372500,2020-01-30,Second-Hand,"51.89008441064981, -8.590014945710507","30 Leslies Arch, Old Quarter"
Old Quarter,Leslies Arch,145,295000,2019-07-04,Second-Hand,"51.89008441064981, -8.590014945710507","145 Leslies Arch, Old Quarter"
An Caislean,An Caislain Grove,90,242000,2019-07-03,Second-Hand,"51.88419579207018, -8.604721941977742","90 An Caislain Grove, An Caislean"
An Caislean,An Caislean,77,255000,2019-06-28,Second-Hand,"51.88419579207018, -8.604721941977742","77 An Caislean, An Caislean"
An Caislean,An Caislean Way,113,250000,2019-06-27,Second-Hand,"51.88419579207018, -8.604721941977742","113 An Caislean Way, An Caislean"
Old Quarter,Coopers Grange,21,359999,2019-06-27,New Build,"51.89008441064981, -8.590014945710507","21 Coopers Grange, Old Quarter"
Coolroe,The Lawn,31,270000,2019-06-25,Second-Hand,"51.885279789132504, -8.622716969745719","31 The Lawn, Coolroe"
Classis Lake,The Sycamores,35,291000,2020-07-24,Second-Hand,"51.88586099008718, -8.62822296864587","35 The Sycamores, Classis Lake"
Greenfield,Greenfield House,1,295000,2020-07-24,Second-Hand,"51.88072634468435, -8.611355403381312","1 Greenfield House, Greenfield"
Carriganarra,Carriganarra,,550000,2020-07-15,Second-Hand,"51.88456579585057, -8.579854607281877"," Carriganarra, Carriganarra"
The Maltings,Barley Grove,27,257000,2020-06-24,Second-Hand,"51.88503727921537, -8.591352822622822","27 Barley Grove, The Maltings"
Maglin,Maglin Green,6,385000,2020-06-19,New Build,"51.88135112776452, -8.59523805920491","6 Maglin Green, Maglin"
Heathfield,The Avenue,32,380000,2020-12-04,New Build,"51.88275370396547, -8.57522707085204","32 The Avenue, Heathfield"
Old Quarter,The Cresent Old Fort Road,16,260000,2020-12-03,Second-Hand,"51.89008441064981, -8.590014945710507","16 The Cresent Old Fort Road, Old Quarter"
Maglin,Glincool Villas,2,285000,2020-12-02,Second-Hand,"51.88135112776452, -8.59523805920491","2 Glincool Villas, Maglin"
Old Quarter,Coopers Grange,1,499999,2020-12-01,New Build,"51.89008441064981, -8.590014945710507","1 Coopers Grange, Old Quarter"
Old Quarter,Leslies Arch,107,326000,2020-12-01,Second-Hand,"51.89008441064981, -8.590014945710507","107 Leslies Arch, Old Quarter"
Classis Lake,Chestnut Cresent,9,500000,2018-03-15,Second-Hand,"51.88586099008718, -8.62822296864587","9 Chestnut Cresent, Classis Lake"
Rosewood,Rosewood,8,235000,2018-03-09,Second-Hand,"51.88865181082447, -8.575978970851866","8 Rosewood, Rosewood"
Muskerry Estate,Park Road,11,275000,2018-03-07,Second-Hand,"51.885514844369936, -8.596310161258103","11 Park Road, Muskerry Estate"
Old Quarter,Millers Court,106,485000,2018-02-28,New Build,"51.89008441064981, -8.590014945710507","106 Millers Court, Old Quarter"
Coolroe,Old Quarry,15,215000,2018-02-28,Second-Hand,"51.885279789132504, -8.622716969745719","15 Old Quarry, Coolroe"
Greenfields,Fernwalk,46,865000,2021-04-21,Second-Hand,"51.87941701969475, -8.620193493581136","46 Fernwalk, Greenfields"
Maglin,Maglin Green,7,420000,2021-04-19,New Build,"51.88135112776452, -8.59523805920491","7 Maglin Green, Maglin"
Muskerry Estate,Castle Avenue,41,300000,2021-04-09,Second-Hand,"51.885514844369936, -8.596310161258103","41 Castle Avenue, Muskerry Estate"
The Crescent,The Crescent,23,270000,2021-04-08,Second-Hand,"51.88974689003794, -8.592724974545812","23 The Crescent, The Crescent"
Greystones,Greystones,29,265000,2021-04-01,Second-Hand,"51.88708566318779, -8.572495537963082","29 Greystones, Greystones"
Coolroe,Old Quarry,17,248000,2021-04-01,Second-Hand,"51.885279789132504, -8.622716969745719","17 Old Quarry, Coolroe"
Inniscarra View,Sweetbriar Lane,9,317000,2021-03-31,Second-Hand,"51.88901621244116, -8.572065214668026","9 Sweetbriar Lane, Inniscarra View"
Town Center,Rowan House,1,465000,2021-03-30,Second-Hand,"51.8878563321983, -8.600737381727024","1 Rowan House, Town Center"
Cois Na Cora,Cois Na Cora,9,274000,2021-03-29,Second-Hand,"51.89115617169389, -8.586177713181245","9 Cois Na Cora, Cois Na Cora"
Town Center,East Gate,,200000,2018-07-20,Second-Hand,"51.8878563321983, -8.600737381727024"," East Gate, Town Center"
Coolroe,The Stables,14,330000,2018-07-20,Second-Hand,"51.885279789132504, -8.622716969745719","14 The Stables, Coolroe"
Muskerry Estate,Castle Avenue,26,290000,2018-07-20,Second-Hand,"51.885514844369936, -8.596310161258103","26 Castle Avenue, Muskerry Estate"
Old Quarter,Millers Court,65,399999,2018-07-16,New Build,"51.89008441064981, -8.590014945710507","65 Millers Court, Old Quarter"
Fionn Laoi,Woodview,35,350000,2018-07-13,New Build,"51.89295672639931, -8.577244778805012","35 Woodview, Fionn Laoi"
Muskerry Estate,Castle Avenue,59,270000,2019-10-23,Second-Hand,"51.885514844369936, -8.596310161258103","59 Castle Avenue, Muskerry Estate"
Heathfield,The Mews,23,369999,2019-10-22,New Build,"51.88275370396547, -8.57522707085204","23 The Mews, Heathfield"
Old Quarter,Leslies Arch Old Quarter,4,395000,2019-10-21,Second-Hand,"51.89008441064981, -8.590014945710507","4 Leslies Arch Old Quarter, Old Quarter"
Greystones,Greystones,17,265000,2019-10-17,Second-Hand,"51.88708566318779, -8.572495537963082","17 Greystones, Greystones"
Shalimar Court,Shalimar Court,4,257500,2019-10-17,Second-Hand,"51.88896130535807, -8.578969730369383","4 Shalimar Court, Shalimar Court"
Old Quarter,Coopers Grange,32a,255000,2019-03-08,New Build,"51.89008441064981, -8.590014945710507","32a Coopers Grange, Old Quarter"
An Caislean,Tara,19,230000,2019-03-08,Second-Hand,"51.88419579207018, -8.604721941977742","19 Tara, An Caislean"
Old Quarter,Coopers Grange,31,336683,2019-03-06,New Build,"51.89008441064981, -8.590014945710507","31 Coopers Grange, Old Quarter"
Coolroe,Prospect Lawn Coolroe,22,605000,2019-03-01,Second-Hand,"51.885279789132504, -8.622716969745719","22 Prospect Lawn Coolroe, Coolroe"
Leesdale Court,Leesdale Court,10,256000,2019-02-25,Second-Hand,"51.89042385266594, -8.583049957357712","10 Leesdale Court, Leesdale Court"
Coolroe,The Green,42,365000,2019-02-22,Second-Hand,"51.885279789132504, -8.622716969745719","42 The Green, Coolroe"
An Caislean,An Caislean View,156,270000,2019-02-21,Second-Hand,"51.88419579207018, -8.604721941977742","156 An Caislean View, An Caislean"
Classis Lake,Oak Drive,13,280000,2018-11-26,Second-Hand,"51.88586099008718, -8.62822296864587","13 Oak Drive, Classis Lake"
Carrigrohane,Father Sexton Place,10,130000,2018-11-20,Second-Hand,"51.89118108080445, -8.570433423222292","10 Father Sexton Place, Carrigrohane"
Fionn Laoi,Woodview,18,400000,2018-11-19,New Build,"51.89295672639931, -8.577244778805012","18 Woodview, Fionn Laoi"
Fionn Laoi,Woodview Fionn Laoi,4,340000,2018-11-16,New Build,"51.89295672639931, -8.577244778805012","4 Woodview Fionn Laoi, Fionn Laoi"
Old Quarter,Millers Court,47,376000,2018-11-08,Second-Hand,"51.89008441064981, -8.590014945710507","47 Millers Court, Old Quarter"
